name,description,label,label_size,label_color
S301,Woodworking,test 1,2,#000000
S302,Woodworking,test 2,2,#000000
S303,Woodworking,test 3,2,#000000
S304,Woodworking,test 4,2,#000000
S305,Woodworking,test 5,2,#000000
S306,Woodworking,test 6,2,#000000
S307,Woodworking,test 7,2,#000000
S308,Woodworking,test 8,2,#000000
S309,Woodworking,test 9,2,#000000
S310,Woodworking,test 10,2,#000000
S311,Woodworking,test 11,2,#000000
S312,Woodworking,test 12,2,#000000
S313,Woodworking,test 13,2,#000000
S314,Woodworking,test 14,2,#000000
S315,Metal Working ,test 15,2,#000000
S316,Metal Working ,test 16,2,#000000
S317,Metal Working ,test 17,2,#000000
S318,Metal Working ,test 18,2,#000000
S319,Metal Working ,test 19,2,#000000
S320,Metal Working ,test 20,2,#000000
S321,Metal Working ,test 21,2,#000000
S322,Metal Working ,test 22,2,#000000
S323,Metal Working ,test 23,2,#000000
S324,Metal Working ,test 24,2,#000000
S325,Metal Working ,test 25,2,#000000
S326,Metal Working ,test 26,2,#000000
S327,Metal Working ,test 27,2,#000000
S328,Metal Working ,test 28,2,#000000
S329,Metal Working ,test 29,2,#000000
S330,Metal Working ,test 30,2,#000000
S331,Metal Working ,test 31,2,#000000
S332,Plastics,test 32,2,#000000
S333,Plastics,test 33,2,#000000
S334,Plastics,test 34,2,#000000
S335,Plastics,test 35,2,#000000
S336,Plastics,test 36,2,#000000
S337,Plastics,test 37,2,#000000
S338,Plastics,test 38,2,#000000
S339,Plastics,test 39,2,#000000
S340,Plastics,test 40,2,#000000
S341,Plastics,test 41,2,#000000
S342,Plastics,test 42,2,#000000
S201,Plastics,test 43,2,#000000
S202,Plastics,test 44,2,#000000
S203,Plastics,test 45,2,#000000
S204,Plastics,test 46,4,#000000
S205,Plastics,test 47,4,#000000
S206,Plastics,test 48,4,#000000
S207,Plastics,test 49,4,#000000
S208,Plastics,test 50,4,#000000
S209,Plastics,test 51,4,#000000
S210,Plastics,test 52,4,#000000
S211,Plastics,test 53,4,#000000
S212,Plastics,test 54,4,#000000
S213,Plastics,test 55,4,#000000
S214,Plastics,test 56,4,#000000
S215,Plastics,test 57,4,#000000
S216,Plastics,test 58,4,#000000
S217,Plastics,test 59,4,#000000
S218,Plastics,test 60,4,#000000
S219,Plastics,test 61,4,#000000
S220,Plastics,test 62,4,#000000
S221,Plastics,test 63,4,#000000
S222,Plastics,test 64,2,#000000
S223,Plastics,test 65,2,#000000
S224,Plastics,test 66,2,#000000
S225,Plastics,test 67,2,#000000
S226,Plastics,test 68,2,#000000
S227,Plastics,test 69,2,#000000
S228,Plastics,test 70,2,#000000
S229,Plastics,test 71,2,#000000
S230,Plastics,test 72,2,#000000
S231,Plastics,test 73,2,#000000
S232,Plastics,test 74,2,#000000
S233,Plastics,test 75,2,#000000
C101,Electronics,test 76,2,#000000
C102,Electronics,test 77,2,#000000
C103,Electronics,test 78,2,#000000
C104,Electronics,test 79,2,#000000
C105,Electronics,test 80,2,#000000
C106,Electronics,test 81,2,#000000
C107,Electronics,test 82,2,#000000
C108,Electronics,test 83,2,#000000
C109,Electronics,test 84,2,#000000
C110,Electronics,test 85,2,#000000
C111,Electronics,test 86,2,#000000
C112,Electronics,test 87,2,#000000
C113,Textiles,test 88,2,#000000
C114,Textiles,test 89,2,#000000
C115,Textiles,test 90,2,#000000
C116,Textiles,test 91,2,#000000
C117,Textiles,test 92,2,#000000
C118,Textiles,test 93,2,#000000
C119,Textiles,test 94,2,#000000
C120,Textiles,test 95,2,#000000
C121,Textiles,test 96,2,#000000
