name,display_name,description,open_date,close_date,days_allowed,seats,minimum_group_size,maximum_group_size,sub_eligible,scheduled_date,unit,objective,project_category
Shop Safety Presentation w/ role play and testing deadlines ***,Shop Safety,Shop Safety Presentation w/ role play and testing deadlines ***,2025-09-08,2025-10-17,1,20,1,1,FALSE,2025-09-08,2,1,7
Safety testing day,Safety Testing,Safety testing day,2025-09-08,2025-10-17,1,20,1,1,TRUE,2025-09-09,2,1,5
"intro to reading, scaling, proportion and creating technical drawings",Reading technical drawings,"intro to reading, scaling, proportion and creating technical drawings",2025-09-08,2025-10-17,1,20,1,1,FALSE,2025-09-10,2,1,7
identifying and creating scaled drawings,creating technical drawings,identifying and creating scaled drawings,2025-09-08,2025-10-17,2,20,1,1,TRUE,,2,1,3
Scaled Golf Course,scaled golf course,Scaled Golf Course,2025-09-08,2025-10-17,3,20,3,5,TRUE,,2,1,4
Identifying your experience and value,Identifying Your Experience,Identifying your experience and value,2025-09-08,2025-10-17,2,20,1,1,TRUE,,2,1,1
reverse engineering a simple wooden game: Design Process,Reverse Engineer: Design,reverse engineering a simple wooden game: Design Process,2025-09-08,2025-10-17,1,20,1,2,TRUE,,2,1,4
safety tests - practical,Practical Shop Tests,safety tests - practical,2025-09-08,2025-10-17,5,5,1,1,FALSE,,2,1,5
reverse engineering a simple game: first shop project,Reverse Engineer:Build,reverse engineering a simple game: first shop project,2025-09-08,2025-10-17,3,10,1,2,FALSE,,2,1,4
Manual fabric making & Material Calculation: knitting a square as part of a production process,Manual Fabric Making,Manual fabric making & Material Calculation: knitting a square as part of a production process,2025-09-08,2025-10-17,2,8,1,2,TRUE,,3,1,2
Machine fabric making & Material Calculation: knitting a square as part of a production process,Machine Fabric Making,Machine fabric making & Material Calculation: knitting a square as part of a production process,2025-09-08,2025-10-17,1,4,1,2,FALSE,,3,1,2
How fabric is made: Identifying materials and considering properties,Identifying Materials,How fabric is made: Identifying materials and considering properties,2025-09-08,2025-10-17,1,10,1,1,TRUE,,3,1,3
Thinking in patterns: manual sewing (airpod/charger case),Manual Sewing,Thinking in patterns: manual sewing (airpod/charger case),2025-09-08,2025-10-17,2,10,1,2,FALSE,,3,1,2
"How sewing machines work, and why they changed the world",How Sewing Machines Work,"How sewing machines work, and why they changed the world",2025-09-08,2025-10-17,1,20,1,1,TRUE,,3,1,3
Machine Sewing and pattern,Machine Sewing,Machine Sewing and pattern,2025-09-08,2025-10-17,4,4,1,2,FALSE,,3,1,2
